iter	RMSE
0	14.10688864
1	13.25771004
2	12.38964788
3	11.65664314
4	11.00873891
5	10.44293036
6	9.901538535
7	9.393329802
8	8.972945451
9	8.551053788
10	8.169514763
11	7.859653488
12	7.571247404
13	7.323339639
14	7.087650988
15	6.864623606
16	6.662306352
17	6.475644478
18	6.319704926
19	6.173554593
20	6.057185684
21	5.966463616
22	5.860113944
23	5.761283483
24	5.687367382
25	5.606034935
26	5.542693635
27	5.487074144
28	5.424023934
29	5.373786282
30	5.333527158
31	5.281813525
32	5.24460488
33	5.210862384
34	5.169974135
35	5.141908846
36	5.108379366
37	5.073295742
38	5.035204959
39	5.013060494
40	4.992174915
41	4.961283026
42	4.935674561
43	4.912120209
44	4.88656637
45	4.86391707
46	4.84260022
47	4.816183882
48	4.799104112
49	4.780868188
50	4.763315685
51	4.751642069
52	4.728481731
53	4.709279413
54	4.694826397
55	4.681674606
56	4.664039822
57	4.65596437
58	4.643522786
59	4.63255561
60	4.627523651
61	4.614557593
62	4.587125719
63	4.567066373
64	4.556790977
65	4.545376543
66	4.519936718
67	4.517918624
68	4.497971394
69	4.479003441
70	4.469282178
71	4.453181135
72	4.435530352
73	4.422117669
74	4.411457562
75	4.393867032
76	4.383279861
77	4.372773882
78	4.35784503
79	4.345290438
80	4.331985133
81	4.325873341
82	4.315646976
83	4.298032007
84	4.286622508
85	4.278948336
86	4.263886464
87	4.248852191
88	4.241675443
89	4.228270181
90	4.215689366
91	4.207575836
92	4.19591544
93	4.188240183
94	4.181462013
95	4.175217068
96	4.167642425
97	4.153914811
98	4.142852603
99	4.135455992
