iter	Passed	Remaining
0	138	138833
1	141	70413
2	143	47567
3	144	36103
4	146	29226
5	148	24678
6	150	21386
7	152	18933
8	154	17015
9	156	15482
10	158	14248
11	160	13208
12	162	12321
13	164	11558
14	166	10901
15	167	10309
16	169	9789
17	170	9322
18	172	8895
19	173	8521
20	175	8177
21	176	7862
22	178	7571
23	179	7305
24	181	7061
25	182	6828
26	183	6613
27	184	6392
28	184	6186
29	185	5993
30	185	5812
31	186	5643
32	187	5484
33	187	5334
34	188	5192
35	188	5058
36	189	4932
37	190	4812
38	190	4698
39	191	4590
40	191	4490
41	192	4394
42	193	4300
43	193	4211
44	194	4127
45	195	4048
46	195	3969
47	196	3896
48	197	3824
49	197	3755
50	198	3688
51	198	3624
52	199	3563
53	199	3503
54	200	3446
55	201	3391
56	201	3338
57	202	3287
58	202	3237
59	203	3189
60	204	3142
61	204	3097
62	205	3054
63	205	3011
64	206	2970
65	207	2930
66	207	2893
67	208	2853
68	208	2818
69	209	2783
70	210	2749
71	210	2715
72	211	2683
73	211	2651
74	212	2620
75	213	2590
76	213	2560
77	214	2531
78	214	2504
79	215	2477
80	215	2450
81	216	2424
82	217	2399
83	217	2374
84	218	2348
85	218	2325
86	219	2300
87	219	2277
88	220	2255
89	220	2234
90	221	2213
91	222	2193
92	223	2177
93	223	2158
94	224	2143
95	225	2126
96	226	2108
97	227	2091
98	227	2074
99	228	2058
100	229	2042
101	229	2023
102	230	2007
103	231	1991
104	231	1975
105	232	1960
106	232	1944
107	233	1929
108	234	1915
109	235	1901
110	235	1888
111	236	1874
112	237	1860
113	237	1847
114	238	1833
115	239	1821
116	239	1809
117	240	1798
118	241	1785
119	241	1773
120	242	1762
121	243	1750
122	243	1737
123	244	1726
124	245	1715
125	245	1704
126	246	1694
127	246	1681
128	247	1671
129	248	1660
130	248	1651
131	249	1641
132	250	1631
133	250	1621
134	251	1611
135	252	1602
136	252	1592
137	253	1582
138	254	1573
139	254	1564
140	255	1555
141	255	1546
142	256	1537
143	257	1529
144	257	1520
145	258	1512
146	259	1504
147	259	1496
148	260	1488
149	261	1479
150	261	1472
151	262	1464
152	263	1456
153	263	1448
154	264	1441
155	265	1433
156	265	1427
157	266	1420
158	267	1413
159	267	1406
160	268	1400
161	269	1393
162	270	1387
163	270	1380
164	271	1374
165	272	1367
166	272	1361
167	273	1354
168	274	1348
169	274	1341
170	275	1334
171	276	1328
172	276	1322
173	277	1316
174	277	1310
175	278	1304
176	279	1297
177	279	1292
178	280	1286
179	281	1280
180	281	1272
181	281	1266
182	282	1261
183	283	1255
184	283	1250
185	284	1244
186	284	1238
187	285	1232
188	286	1227
189	286	1221
190	287	1216
191	287	1211
192	288	1205
193	288	1200
194	289	1195
195	290	1190
196	290	1185
197	291	1179
198	291	1174
199	292	1169
200	293	1164
201	293	1160
202	294	1155
203	294	1150
204	295	1145
205	296	1141
206	296	1136
207	297	1131
208	297	1126
209	298	1122
210	298	1117
211	299	1113
212	299	1108
213	300	1103
214	301	1099
215	301	1094
216	302	1090
217	302	1086
218	303	1081
219	303	1077
220	304	1073
221	305	1069
222	305	1064
223	306	1060
224	306	1056
225	307	1052
226	308	1049
227	308	1045
228	309	1042
229	310	1038
230	310	1035
231	311	1031
232	312	1027
233	312	1023
234	313	1019
235	313	1016
236	314	1012
237	315	1008
238	315	1004
239	316	1001
240	316	997
241	317	994
242	318	990
243	318	987
244	319	983
245	319	980
246	320	976
247	320	973
248	321	969
249	322	966
250	322	963
251	323	960
252	324	956
253	324	953
254	325	950
255	325	946
256	326	943
257	326	940
258	327	937
259	328	934
260	328	931
261	329	927
262	330	924
263	330	922
264	331	918
265	331	915
266	332	913
267	333	910
268	333	907
269	334	904
270	334	901
271	335	898
272	336	895
273	336	892
274	337	889
275	337	886
276	338	883
277	339	880
278	339	878
279	340	875
280	341	872
281	341	869
282	342	867
283	342	864
284	343	861
285	343	858
286	344	855
287	345	853
288	345	850
289	346	847
290	346	844
291	347	842
292	347	839
293	348	836
294	349	834
295	349	831
296	350	828
297	350	826
298	351	823
299	351	821
300	352	818
301	353	816
302	353	813
303	354	811
304	354	808
305	355	806
306	356	803
307	356	801
308	357	798
309	357	796
310	358	793
311	358	791
312	359	788
313	359	786
314	360	784
315	361	781
316	361	779
317	362	777
318	362	774
319	363	772
320	364	770
321	364	767
322	365	765
323	365	763
324	366	760
325	366	758
326	367	756
327	368	754
328	368	752
329	369	749
330	369	747
331	370	745
332	371	743
333	371	741
334	372	739
335	372	736
336	373	734
337	374	732
338	374	730
339	375	728
340	375	726
341	376	724
342	377	722
343	377	720
344	378	718
345	378	716
346	379	714
347	380	712
348	380	710
349	381	707
350	381	706
351	382	704
352	383	702
353	383	699
354	384	697
355	384	695
356	385	693
357	385	692
358	386	690
359	387	688
360	387	686
361	388	684
362	388	682
363	389	680
364	389	678
365	390	676
366	390	674
367	391	672
368	392	670
369	392	668
370	393	666
371	393	664
372	394	663
373	395	661
374	395	659
375	396	657
376	396	655
377	397	653
378	397	652
379	398	650
380	399	648
381	399	646
382	400	644
383	400	642
384	401	641
385	401	639
386	402	637
387	403	635
388	403	634
389	404	632
390	404	630
391	405	628
392	406	627
393	406	625
394	407	623
395	407	622
396	408	620
397	409	618
398	409	617
399	410	615
400	410	613
401	411	611
402	411	610
403	412	608
404	413	606
405	413	605
406	414	603
407	414	601
408	415	600
409	416	598
410	416	597
411	417	595
412	417	593
413	418	592
414	419	590
415	419	589
416	420	587
417	420	585
418	421	584
419	422	582
420	422	581
421	423	579
422	423	578
423	424	576
424	425	575
425	425	573
426	426	572
427	426	570
428	427	568
429	428	567
430	428	565
431	429	564
432	429	562
433	430	561
434	430	559
435	431	558
436	432	556
437	432	555
438	433	553
439	433	552
440	434	550
441	435	549
442	435	547
443	436	546
444	437	545
445	437	543
446	438	542
447	439	541
448	439	539
449	440	538
450	440	536
451	441	535
452	442	533
