iter	Passed	Remaining
0	155	155606
1	156	78227
2	157	52307
3	158	39371
4	158	31588
5	159	26398
6	160	22783
7	161	19998
8	161	17828
9	162	16087
10	163	14666
11	163	13487
12	164	12508
13	165	11661
14	166	10952
15	167	10322
16	168	9737
17	168	9216
18	169	8750
19	170	8330
20	170	7951
21	171	7607
22	171	7292
23	172	7004
24	173	6747
25	174	6527
26	174	6303
27	175	6092
28	176	5897
29	176	5716
30	177	5547
31	178	5391
32	178	5242
33	179	5107
34	180	4982
35	181	4861
36	182	4742
37	182	4628
38	183	4519
39	184	4420
40	184	4324
41	185	4233
42	186	4144
43	186	4059
44	187	3982
45	189	3920
46	189	3847
47	190	3777
48	191	3708
49	191	3643
50	192	3580
51	193	3522
52	193	3465
53	194	3413
54	195	3363
55	196	3311
56	197	3259
57	197	3209
58	198	3161
59	198	3114
60	199	3069
61	199	3025
62	200	2982
63	201	2940
64	201	2902
65	202	2867
66	203	2833
67	204	2797
68	204	2763
69	205	2729
70	206	2696
71	206	2665
72	207	2635
73	208	2607
74	209	2580
75	209	2552
76	210	2523
77	211	2494
78	211	2467
79	212	2440
80	212	2414
81	213	2388
82	213	2360
83	214	2335
84	214	2312
85	215	2288
86	215	2265
87	216	2245
88	217	2228
89	218	2207
90	219	2187
91	219	2167
92	220	2147
93	220	2129
94	221	2112
95	222	2094
96	223	2078
97	224	2062
98	224	2046
99	225	2029
100	226	2011
101	226	1994
102	227	1977
103	227	1960
104	228	1944
105	228	1928
106	229	1912
107	229	1897
108	230	1882
109	230	1867
110	231	1853
111	232	1840
112	233	1830
113	233	1816
114	234	1804
115	235	1791
116	235	1777
117	236	1766
118	237	1755
119	237	1744
120	238	1734
121	239	1722
122	240	1711
123	240	1699
124	241	1687
125	241	1676
126	242	1664
127	242	1653
128	243	1643
129	243	1632
130	244	1621
131	245	1611
132	245	1600
133	246	1590
134	246	1581
135	247	1574
136	248	1564
137	248	1555
138	249	1545
139	250	1536
140	250	1527
141	251	1518
142	252	1510
143	252	1503
144	253	1496
145	254	1489
146	255	1483
147	256	1474
148	256	1466
149	257	1457
150	257	1449
151	258	1441
152	258	1433
153	259	1424
154	259	1416
155	260	1409
156	261	1401
157	261	1394
158	262	1388
159	263	1382
160	263	1374
161	264	1367
162	264	1360
163	265	1353
164	266	1347
165	266	1341
166	267	1334
167	268	1330
168	269	1325
169	270	1318
170	270	1312
171	271	1305
172	271	1299
173	272	1293
174	272	1286
175	273	1280
176	274	1274
177	274	1268
178	275	1262
179	275	1256
180	276	1251
181	277	1246
182	278	1242
183	278	1236
184	279	1231
185	280	1226
186	280	1221
187	281	1215
188	282	1210
189	282	1206
190	283	1201
191	284	1197
192	285	1193
193	285	1188
194	286	1183
195	287	1177
196	287	1172
197	288	1167
198	288	1162
199	289	1157
200	289	1152
201	290	1147
202	291	1143
203	291	1138
204	292	1135
205	293	1131
206	294	1127
207	294	1123
208	295	1118
209	296	1114
210	296	1110
211	297	1106
212	298	1102
213	299	1099
214	300	1095
215	300	1091
216	301	1087
217	301	1082
218	302	1078
219	303	1074
220	303	1070
221	304	1066
222	304	1061
223	305	1057
224	305	1053
225	306	1049
226	307	1045
227	308	1043
228	308	1039
229	309	1036
230	310	1032
231	310	1028
232	311	1024
233	312	1021
234	312	1018
235	313	1015
236	314	1012
237	315	1008
238	315	1005
239	316	1001
240	316	997
241	317	993
242	317	990
243	318	986
244	318	982
245	319	979
246	319	975
247	320	971
248	321	968
249	321	964
250	322	961
251	323	959
252	323	956
253	324	953
254	325	950
255	325	946
256	326	943
257	327	940
258	327	938
259	328	935
260	329	933
261	330	930
262	331	927
263	331	924
264	332	921
265	332	918
266	333	915
267	333	912
268	334	908
269	335	905
270	335	902
271	336	899
272	336	896
273	337	894
274	338	892
275	339	889
276	339	886
277	340	884
278	341	881
279	341	878
280	342	876
281	343	873
282	343	871
283	344	869
284	345	866
285	346	864
286	346	861
287	347	858
288	347	855
289	348	853
290	349	850
291	349	847
292	350	845
293	350	842
294	351	839
295	351	837
296	352	834
297	353	833
298	354	830
299	354	828
300	355	825
301	356	823
302	356	820
303	357	818
304	358	816
305	358	813
306	359	812
307	360	809
308	361	807
309	361	804
310	362	802
311	362	799
312	363	797
313	363	794
314	364	792
315	364	789
316	365	787
317	365	784
318	366	782
319	366	779
320	367	777
321	368	775
322	369	773
323	369	771
324	370	769
325	371	767
326	371	765
327	372	762
328	372	760
329	373	758
330	374	756
331	374	754
332	375	752
333	376	750
334	377	748
335	377	746
336	378	744
337	378	742
338	379	740
339	380	737
340	380	735
341	381	733
342	381	731
343	382	729
344	383	727
345	383	725
346	384	723
347	385	721
348	385	719
349	386	717
350	387	715
351	387	714
352	388	712
353	389	710
354	390	708
355	390	707
356	391	705
357	392	703
358	392	701
359	393	699
360	394	697
361	394	695
362	395	693
363	395	691
364	396	690
365	397	688
366	398	686
367	399	685
368	400	685
369	401	683
370	402	681
371	402	680
372	403	678
373	404	677
374	405	675
375	406	674
376	406	672
377	407	670
378	408	668
379	408	667
380	409	665
381	410	663
382	410	661
383	411	660
384	413	659
385	414	659
386	415	657
387	415	656
388	416	654
389	417	652
390	418	651
